torneo,id_partido,fase,grupo,jornada,fecha,equipo_local,equipo_visitante,goles_local,goles_visitante,anfitrion_local,estadio,ciudad,fuente
2026,M-2026-067,Fase de grupos,G,1,2026-06-17,England,Croatia,4.0,2.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L
2026,M-2026-003,Fase de grupos,A,2,2026-06-18,Czechia,South Africa,1.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
2026,M-2026-004,Fase de grupos,A,2,2026-06-18,Mexico,South Korea,1.0,0.0,True,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
2026,M-2026-009,Fase de grupos,G,2,2026-06-18,Switzerland,Bosnia and Herzegovina,4.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
2026,M-2026-010,Fase de grupos,G,2,2026-06-18,Canada,Qatar,6.0,0.0,True,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
2026,M-2026-068,Fase de grupos,,1,2026-06-18,Ghana,Panama,1.0,0.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L
2026,M-2026-015,Fase de grupos,C,2,2026-06-19,Scotland,Morocco,0.0,,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
2026,M-2026-016,Fase de grupos,G,2,2026-06-19,Brazil,Haiti,3.0,0.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
2026,M-2026-021,Fase de grupos,G,2,2026-06-19,United States,Australia,,0.0,True,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
2026,M-2026-022,Fase de grupos,D,2,2026-06-20,Turkey,Paraguay,0.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
2026,M-2026-027,Fase de grupos,E,2,2026-06-20,Germany,Ivory Coast,2.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
2026,M-2026-028,Fase de grupos,G,2,2026-06-20,Ecuador,Curacao,0.0,0.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
2026,M-2026-033,Fase de grupos,G,2,2026-06-20,Netherlands,Sweden,5.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
2026,M-2026-034,Fase de grupos,F,2,2026-06-20,Tunisia,Japan,0.0,4.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
